Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,485.668418729808
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5287.66369446913
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4142.01855842917
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,11521.6097798453
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,41793.3188365378
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2524.94248263123
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,16679.5916624545
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,11795.1593866287
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4220.54032079145
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,30253.7142345626
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,57180.7794001614
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,51486.5755014824
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4739.84171028393
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,33077.3918342474
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,24086.3016866837
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1991.48326659412
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,17782.8747318576
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6360.06247301284
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,47549.2080494546
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4927.19422373932
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1241.8252980053
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,113050.73688163
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3243.47743748718
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3548.59078021899
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6070.35298018619
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7503.8785883646
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,9151.38173161536
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31628.4762566009
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,9446.70077185518
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,804.500537821516
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,238.034309554717
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3616.46066604314
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1512.12698889384
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1585.24053445546
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,46548.6384108296
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,86180.5396948445
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,475.953813864813
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,726.151007088549
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,15772.333484425
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,9905.34200389253
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6729.58333198168
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1428.29046324322
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,565.829542895849
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2606.61552601515
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12485.4238961667
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2314.05095836881
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,15227.5600968096
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,8824.19400843842
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,18956.0979142963
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,29334.111328125
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,23419.7356136502
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61591.9288698958
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3038.26973815945
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7745.37696325874
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,8050.64407623416
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,6295.93466163992
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,2537.12518504712
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,4052.62477533742
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,10005.6160423267
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,23063.5638175675
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,4107.09443109307
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,771.524866349431
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,65572.6075305846
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,6317.41372301725
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,49988.9108461845
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,41592.795896432
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,22094.7574631942
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,7959.00726736376
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,732.720727318856
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4722.0424231414
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,47973.6076235097
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2260.86056729337
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,19756.990456255
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,54545.2999786248
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,10466.8822111958
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,36556.6749110213
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4478.42464550944
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,955.111281136711
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,802.767385116156
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,6145.81927664377
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1479.3458268885
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2510.32294304191
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,48537.5668888343
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,16427.3727611478
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,74469.8040591559
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1998.25907627675
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,3893.85957814877
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,4046.34186351162
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,5915.85085369644
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,79107.6049934367
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,89112.6677158571
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,42063.4531274811
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,34622.1696664741
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5359.99378939638
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,39727.1165995928
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4308.1510738997
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9812.62637077396
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1794.0911754468
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1693.95015468902
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People's Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,33436.9230646064
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,4384.0488917319
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,33399.060475851
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1308.14016549619
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2569.09389217251
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,17865.0310947642
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,8003.82761247354
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1192.4843195181
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,710.265998419581
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,11482.1336356202
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,176499.402554134
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,19186.1812814178
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,117254.740352682
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,87526.0799912635
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,518.401122965872
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,544.593459253286
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,11380.079220974
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,10279.0799751619
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,894.804843529365
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,31573.1165594518
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,3793.55098267479
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1669.77347632717
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,11208.3438184474
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,9686.98492655586
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,3568.291015625
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,4230.62696856829
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,185978.609251356
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,4156.8469697802
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,8850.37840418667
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3226.98291015625
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,503.302009186097
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1250.17368502539
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,5588.39286411942
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,11614.665076832
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,1178.52595698425
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,53044.5324352253
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,36382.4955335221
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,43250.440973659
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,2014.57518879047
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,570.723921953592
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2027.77854863842
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,6108.74010831698
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,22886.6740494647
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,82267.809316159
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,18947.3664959773
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1678.04315020006
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,15895.2598961532
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,15544.9990758626
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2801.37139302915
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,5782.78454981286
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,6958.49726229132
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3252.11027410706
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,15468.4822194105
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,23562.5545228191
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,31604.7015144578
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,65907.9484330735
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,12398.9819787666
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,11287.3603515625
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,783.812790116076
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4187.50478719379
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,48996.5929877
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1953.5132573676
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,24228.8390391665
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1458.08158374002
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,7252.40185773992
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,16910.6679212598
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,533.991533265984
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,66859.3383447804
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,28988.2592085877
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,19389.9821594449
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,26116.8563558793
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2411.89790433612
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,389.83139549816
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,7005.09541266022
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,30364.5799435622
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,4059.20822984654
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,20567.2582647868
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,11353.7152287809
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,8024.02849584369
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,773.507080078125
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,6938.08698147294
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,54589.0603860606
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,86388.4049527184
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,1265.60619039693
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,853.218873401321
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,1042.83874511719
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,7298.94714621349
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1249.13835051953
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,901.523016898937
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,4740.70027224476
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,17139.185674458
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3690.89693189538
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,9454.34844272271
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,6967.37504258806
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,29553.1366979053
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,4156.30512786743
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,770.600784343292
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,3096.56176757813
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,43839.3244857234
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,43646.9519711493
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,62805.2537579917
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,18703.8602924478
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,1597.0683366109
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,3125.43601411444
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,3230.92771257461
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,36653.8630480089
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3562.33094270256
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,758.145948927092
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1516.36837125728
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1254.64226494434
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Eastern and Southern,AFE,1541.03166126289
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Western and Central,AFW,1704.13569844318
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,6635.38139369641
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,10250.2917323397
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,16047.2796999215
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,3509.75422160638
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,11324.0048838657
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,7954.76252492483
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,8042.94835173201
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,40059.1824769881
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,25297.6798609025
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,8008.25710825888
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,8876.1572505674
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,35753.3668481949
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,1826.83326554318
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,987.173904512955
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,44571.4335819118
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,6387.74881862417
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,5110.91127118716
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1835.3218066323
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,1133.25964074892
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1369.26045742413
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,9832.14137916349
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,8902.39915241187
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,8357.12470404998
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8740.51523365837
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,1077.49334233358
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,4933.69796934306
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,699.411435185585
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,2335.30312516721
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,7704.42076926474
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,3604.9257626831
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,3605.44010358655
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,5415.61100632926
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,61158.5635590912
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,39306.7924048156
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,14368.9269681098
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,4340.56470402293
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,45413.5509179499
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1438.52951623925
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,13015.085851986
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1944.00663468586
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1944.00663468586
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1606.86341924427
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1605.49002331914
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1606.86341924427
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,9448.6348536615
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,11366.0736692165
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
